Place of interest,Type of place,Place address,Distance from station in mts,BiciMAD station,BiciMAD address
"Oficina de Correos. Sucursal 99. Calle Pegaso, 24",Instalaciones accesibles NO municipales,Calle Pegaso 24,2330.5,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
Oficina de Empleo Aluche,Instalaciones accesibles NO municipales,Calle Illescas 189,3409.88,224 - Caramuel,Calle Caramuel nº 51
Oficina de Empleo Argüelles,Instalaciones accesibles NO municipales,Calle Evaristo San Miguel 8,215.32,14 - Ventura Rodríguez,Calle Duque de Liria
Oficina de Empleo Atocha,Instalaciones accesibles NO municipales,Calle Mendez Alvaro 7,26.88,119 - Méndez Álvaro,Calle Méndez Álvaro nº 11
Oficina de Empleo Barrio de la Concepción,Instalaciones accesibles NO municipales,Calle Virgen Del Puig 5,204.18,188 - Puente de Ventas,Avenida de Daroca nº 2
Oficina de Empleo Barrio del Pilar,Instalaciones accesibles NO municipales,Camino Ganapanes 33,2230.0,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62
Oficina de Empleo Ciudad Lineal,Instalaciones accesibles NO municipales,Calle Miguel Yuste 21,2113.21,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Oficina de Empleo Estrecho - Azca,Instalaciones accesibles NO municipales,Plaza Pablo Ruiz Picasso  Edificio Serantes,220.93,153 - General Perón con Poeta Joan Maragall,Avenida del General Perón frente al nº 36
Oficina de Empleo Goya,Instalaciones accesibles NO municipales,Calle O'Donnell 12,233.55,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
Oficina de Empleo Legazpi,Instalaciones accesibles NO municipales,Paseo Acacias 23,65.53,163 - Paseo de la Esperanza,Paseo de la Esperanza nº 2
Oficina de Empleo Moratalaz,Instalaciones accesibles NO municipales,Calle Hacienda De Pavones 350,154.99,221 - Pavones,Calle Hacienda de Pavones nº 342
Oficina de Empleo Nueva Numancia,Instalaciones accesibles NO municipales,Calle Francisco Iglesias 9,322.65,179 - Puente de Vallecas,Avenida de la Albufera nº 6
Oficina de Empleo Prosperidad,Instalaciones accesibles NO municipales,Calle Canillas 104,167.36,251 - Corazón de María,Calle Santa Hortensia nº 31
Oficina de Empleo Puerta del Angel,Instalaciones accesibles NO municipales,Glorieta Puente De Segovia 3,426.35,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4
Oficina de Empleo San Isidro,Instalaciones accesibles NO municipales,Calle Tejares 4,600.56,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Oficina de Empleo Sanchinarro,Instalaciones accesibles NO municipales,Avenida Ingeniero Emilio Herrera 23,3886.91,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
Oficina de Empleo Santa Eugenia,Instalaciones accesibles NO municipales,Calle Cabeza Mesada 5,2700.12,221 - Pavones,Calle Hacienda de Pavones nº 342
Oficina de Empleo Usera,Instalaciones accesibles NO municipales,Calle Antonio Lopez 101,101.97,222 - Antonio López,Calle Eugenio Caxes frente al nº 12
Oficina de Empleo Villaverde,Instalaciones accesibles NO municipales,Calle Salsipuedes 7,4984.91,213 - Glorieta de Cádiz,Calle Antonio López nº 129
