Place of interest,Type of place,Place address,BiciPARK station,BiciPARK address,Distance from parking in mts
Biblioteca Pública Javier Marías (Moratalaz),Instalaciones accesibles NO municipales,Calle Corregidor Alonso De Tobar 5,Bicipark Almagro,"Calle Almagro, 11",5665.44
Colegio Liceo Sorolla B,Instalaciones accesibles NO municipales,Calle Nueva Zelanda 21,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",5668.8
Oficina de Empleo Goya,Instalaciones accesibles NO municipales,Calle O'Donnell 12,Bicipark Recuerdo,"Calle Hiedra, 26",5671.62
Sede QuedaT.com Puente de Vallecas,Instalaciones accesibles NO municipales,Calle Cardeñosa 18,Bicipark Almagro,"Calle Almagro, 11",5677.02
Colegio Público Leopoldo Alas,Instalaciones accesibles NO municipales,Calle Pedrezuela 18,Bicipark Recuerdo,"Calle Hiedra, 26",5680.07
Administración María de Molina. AEAT,Instalaciones accesibles NO municipales,Calle Nuñez De Balboa 116,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,5681.03
Cine La Vaguada,Instalaciones accesibles NO municipales,Avenida Monforte De Lemos 36,Bicipark Almagro,"Calle Almagro, 11",5683.46
Oficina de Correos. Sucursal 42. Centro Comercial La Vaguada,Instalaciones accesibles NO municipales,Avenida Monforte De Lemos 36,Bicipark Almagro,"Calle Almagro, 11",5683.46
Instituto de Educación Secundaria (IES) Pedro Salinas,Instalaciones accesibles NO municipales,Calle General Marva 24,Bicipark Salamanca,Pl. del Marqués de Salamanca,5686.48
Escuela Infantil Jesús Niño,Instalaciones accesibles NO municipales,Calle Florencio Garcia 12,Bicipark Recuerdo,"Calle Hiedra, 26",5687.98
Oficina de Correos. Sucursal 60. Calle Arquitecto López Otero,Instalaciones accesibles NO municipales,Calle Arquitecto Lopez Otero 3,Bicipark Salamanca,Pl. del Marqués de Salamanca,5693.12
Instituto de Educación Secundaria (IES) Avenida de los Toreros,Instalaciones accesibles NO municipales,Avenida Toreros 57,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,5705.28
Escuela Infantil Jesús Niño,Instalaciones accesibles NO municipales,Calle Florencio Garcia 12,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,5707.51
Colegio Mayor Vedruna,Instalaciones accesibles NO municipales,Glorieta Presidente Garcia Moreno 2,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",5711.71
Biblioteca de la Facultad de Derecho de la Universidad Complutense de Madrid,Instalaciones accesibles NO municipales,Plaza Menendez Pelayo 4,Bicipark Montalban,"Calle de Montalbán, 5",5718.72
Residencia Mirasierra para personas con discapacidad intelectual gravemente afectadas y centro de día CAMP Mirasierra,Instalaciones accesibles NO municipales,Calle La Maso 40,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,5720.43
Instituto de Educación Secundaria (IES) Gregorio Marañón,Instalaciones accesibles NO municipales,Avenida El Ferrol 43,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",5721.88
ASPAYM Madrid (Asociación de Parapléjicos y Personas con Gran Discapacidad Física de la Comunidad de Madrid),Instalaciones accesibles NO municipales,Camino Valderribas 115,Bicipark Almagro,"Calle Almagro, 11",5723.61
Aparcamiento público. Plaza Ramón y Cajal (Ciudad Universitaria),Instalaciones accesibles NO municipales,Plaza Ramon Y Cajal 1,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",5727.1
