,Place of interest,Type of place,Place address,Distance from station in mts,BiciMAD station,BiciMAD address
130,Colegio Público Luis Bello,Instalaciones accesibles NO municipales,Calle Luis Cabrera 66,184.93,196 - Prosperidad,Calle Suero de Quiñones nº 2
131,Colegio Público Marqués de Suanzes,Instalaciones accesibles NO municipales,Avenida Veinticinco De Septiembre 1,2362.52,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
132,Colegio Público Martínez Montañés,Instalaciones accesibles NO municipales,Calle Hacienda De Pavones 223,187.88,221 - Pavones,Calle Hacienda de Pavones nº 342
133,Colegio Público Méjico (México),Instalaciones accesibles NO municipales,Avenida Badajoz 74,207.86,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
134,Colegio Público Nuestra Señora de la Paloma,Instalaciones accesibles NO municipales,Calle Tabernillas 2,37.06,38 - Plaza de los Carros,Carrera de San Francisco nº 1
135,Colegio Público Parque Aluche,Instalaciones accesibles NO municipales,Calle Quero 47,4155.51,224 - Caramuel,Calle Caramuel nº 51
136,Colegio Público Pinar de San José,Instalaciones accesibles NO municipales,Calle Patrimonio De La Humanidad 39,6506.28,224 - Caramuel,Calle Caramuel nº 51
137,Colegio Público Reina Victoria,Instalaciones accesibles NO municipales,Calle Principe De Vergara 61,179.26,143 - Diego de León 52,Calle Diego de León nº 52
138,Colegio Público San Juan de la Cruz,Instalaciones accesibles NO municipales,Calle Honduras 10,287.09,254 - Pío XII,Avenida Pío XII nº 3
139,Colegio Público Tomás Bretón,Instalaciones accesibles NO municipales,Calle Alejandro Dumas 4,237.28,169 - Pirámides,Calle Toledo nº 181
140,Colegio Público Virgen del Cerro,Instalaciones accesibles NO municipales,Calle Mohernando 1,1161.37,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
141,Colegio Público de Educación Especial Francisco del Pozo,Instalaciones accesibles NO municipales,Callejon Domine 6,1494.52,217 - Pedro Rico,Calle Pedro Rico nº 4
142,Colegio Público de Educación Especial Fundación Goyeneche,Instalaciones accesibles NO municipales,Calle Arcos De Jalon 22,2426.29,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
143,Colegio Público de Educación Especial María Soriano,Instalaciones accesibles NO municipales,Avenida Peseta 30,6366.7,224 - Caramuel,Calle Caramuel nº 51
144,Colegio Sagrado Corazón. Avenida Alfonso XIII.,Instalaciones accesibles NO municipales,Avenida Alfonso Xiii 127,674.52,160 - Colombia,Calle Colombia nº 7
145,Colegio Santa María la Blanca,Instalaciones accesibles NO municipales,Calle Monasterio De Oseira 17,3411.74,217 - Pedro Rico,Calle Pedro Rico nº 4
146,Colegio Santo Domingo Savio,Instalaciones accesibles NO municipales,Calle Santo Domingo Savio 2,725.53,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
147,Colegio Scuola Materna Italiana de Madrid,Instalaciones accesibles NO municipales,Calle Agustin De Betancourt 1,226.12,134 - Agustín de Betancourt,Calle María de Guzmán nº 58
148,Colegio Stella Maris La Gavia,Instalaciones accesibles NO municipales,Calle Peñaranda De Bracamonte 9,4431.01,221 - Pavones,Calle Hacienda de Pavones nº 342
149,Colegio Tajamar,Instalaciones accesibles NO municipales,Calle Pio Felipe 12,1055.18,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
150,Colegio Ártica,Instalaciones accesibles NO municipales,Calle Morales 25,6086.91,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
151,Comisaría de Policía (Carabanchel),Instalaciones accesibles NO municipales,Calle Padre Amigo 3,3323.7,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
152,Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Chamartín),Instalaciones accesibles NO municipales,Avenida Pio Xii 48,1078.17,254 - Pío XII,Avenida Pío XII nº 3
153,Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Ciudad Lineal),Instalaciones accesibles NO municipales,Travesia Virgen De La Roca 25 Posterior,102.69,189 - Avenida Donostiarra,Calle Virgen de la Alegría nº 18
154,Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Fuencarral - El Pardo),Instalaciones accesibles NO municipales,Calle Mirador De La Reina 4,4039.41,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62
155,Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Hortaleza),Instalaciones accesibles NO municipales,Calle Javier Del Quinto,2857.73,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
156,Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Latina),Instalaciones accesibles NO municipales,Avenida Poblados 51,4397.52,224 - Caramuel,Calle Caramuel nº 51
157,Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (San Blas - Canillejas),Instalaciones accesibles NO municipales,Calle Alberique 20,2798.54,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
158,Comisaría de Policía y Oficina de Tramitación del DNI y Pasaporte (Usera-Villaverde 2),Instalaciones accesibles NO municipales,Calle Primitiva Gañan 6,1367.64,213 - Glorieta de Cádiz,Calle Antonio López nº 129
159,Complejo Deportivo Hockey Somontes de la Comunidad de Madrid,Instalaciones accesibles NO municipales,Carretera El Pardo 41,4839.27,261 - Facultad Derecho,Avenida Complutense nº 23
160,Comunidad de Madrid. Oficina de atención al ciudadano y oficina general de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Gran Via 3,123.43,28 - Sevilla,Calle Alcalá nº 27
161,Congreso de los Diputados,Instalaciones accesibles NO municipales,Plaza Cortes 1,106.84,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25
162,Consorcio Regional de Transportes Públicos Regulares de Madrid,Instalaciones accesibles NO municipales,Plaza Descubridor Diego De Ordas 3 Planta Baja,187.38,130 - Santa Engracia 127,Calle Santa Engracia nº 127
163,Círculo de Empresarios,Instalaciones accesibles NO municipales,Calle Marques De Villamagna 3 Planta 11,175.82,103 - Ortega y Gasset,Calle José Ortega y Gasset nº 4
164,Delegación Especial de Madrid. AEAT,Instalaciones accesibles NO municipales,Calle Guzman El Bueno 139,179.01,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
165,Dirección General de Vivienda y Rehabilitación. Comunidad de Madrid,Instalaciones accesibles NO municipales,Calle Maudes 17,224.57,133 - Raimundo Fernández,Calle Raimundo Fernández Villaverde nº 33
