,Place of interest,Postal code,Place address,place_lat,place_long
202,Instituto de Educación Secundaria (IES) María Rodrigo,28051,"Calle Talamanca Del Jarama, Esquina Granja De San Ildefonso",40.3669635274679,-3.619625507906445
203,Instituto de Educación Secundaria (IES) Moratalaz,28030,Calle Corregidor Diego De Valderrabano 35,40.408278182902734,-3.6620902751641093
204,Instituto de Educación Secundaria (IES) Nuestra Señora de la Almudena,28039,Plaza Remonta 17,40.46401954600425,-3.698400411395519
205,Instituto de Educación Secundaria (IES) Numancia,28038,Calle Las Marismas 14,40.402204300135466,-3.654488722948694
206,Instituto de Educación Secundaria (IES) Parque Aluche,28024,Calle Maqueda 86,40.39039761478656,-3.7639621139513095
207,Instituto de Educación Secundaria (IES) Pedro Salinas,28026,Calle General Marva 24,40.38874886813379,-3.7088034483893
208,Instituto de Educación Secundaria (IES) Príncipe Felipe,28029,Calle Finisterre 60,40.481962024356015,-3.7034118646526064
209,Instituto de Educación Secundaria (IES) Renacimiento,28019,Calle Castellflorite 4,40.39366237687734,-3.7384654469356606
210,Instituto de Educación Secundaria (IES) Salvador Dalí,28027,Calle Verdaguer Y Garcia 2,40.43969816091729,-3.6563968141893874
211,Instituto de Educación Secundaria (IES) San Cristóbal de los Ángeles,28021,Plaza Pinazo 7,40.34233618931469,-3.6905504735084342
212,Instituto de Educación Secundaria (IES) San Fernando,28049,Carretera Colmenar Viejo Km.13500,40.528281841913156,-3.6921366876182233
213,Instituto de Educación Secundaria (IES) San Mateo,28004,Calle Beneficencia 4,40.42559430738693,-3.700195463803624
214,Instituto de Educación Secundaria (IES) Santa Eugenia,28007,Calle Cerro De Almodovar 5,40.38466865123782,-3.603958826692157
215,Instituto de Educación Secundaria (IES) Tetuán de las Victorias,28029,Calle Via Limite 14,40.47305798647611,-3.6904958177678564
216,Instituto de Educación Secundaria (IES) Valdebernardo,28032,Bulevar Indalecio Prieto 1,40.40525429891849,-3.619245830201053
217,Instituto de Educación Secundaria (IES) Villa de Vallecas,28031,Calle Villarino De Los Aires 14,40.375136477747475,-3.6243415829018666
218,Instituto de Educación Secundaria (IES) Villaverde,28041,Calle Alianza 20,40.35757164103424,-3.6873613214871783
219,Instituto de Educación Secundaria (IES) Vista Alegre,28025,Calle General Ricardos 177,40.385197375260255,-3.7364997414123096
220,Intercambiador de transporte. Aeropuerto T1 - T2 - T3,28042,Avenida Hispanidad 44,40.46820652750678,-3.569628907422605
221,Intercambiador de transporte. Aeropuerto T4,28042,Carretera M-110 250,40.49131668701571,-3.59363958621678
222,Intercambiador de transporte. Aluche,28047,Avenida Poblados 41,40.38564275021698,-3.7608183407720306
223,Intercambiador de transporte. Avenida de América,28002,Intercambiador Avenida De America,40.43794109892889,-3.6767946888578997
224,Intercambiador de transporte. Chamartín,28036,Calle Agustin De Foxa 40,40.47191331095463,-3.683755078929365
225,Intercambiador de transporte. Moncloa,28008,Calle Princesa 89,40.434682199701676,-3.7194861136891455
226,Intercambiador de transporte. Méndez Álvaro - Estación Sur,28045,Calle Mendez Alvaro 83,40.39503740434429,-3.6787398144153616
227,Intercambiador de transporte. Nuevos Ministerios,28003,Calle Raimundo Fernandez Villaverde 69,40.44658237972204,-3.692173807242225
228,Intercambiador de transporte. Plaza Elíptica,28026,Plaza Eliptica 3,40.38464977990551,-3.718115468424804
229,Intercambiador de transporte. Plaza de Castilla,28046,Paseo Castellana 195,40.46776137894982,-3.6888781484103617
