Place of interest,Type of place,Place address,Distance from parking in mts,BiciPARK station,BiciPARK address,Spots available
"APFMPS, Residencia, centro de día y centro ocupacional Instituto Doctor Quintero Lumbreras",Instalaciones accesibles NO municipales,Carretera Colmenar Viejo 13.6,16331.85,Bicipark Montalban,"Calle de Montalbán, 5",15
Parroquia San Ireneo,Instalaciones accesibles NO municipales,Calle Carlota O'Neill 26,16380.28,Bicipark Aviación,Parking Aviación Española,10
Biblioteca Pública María Moliner (Villaverde),Instalaciones accesibles NO municipales,Calle Villalonso 16,16382.52,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
"A (mas) ECU control urbanístico, S.L. Entidad Colaboradora",Instalaciones accesibles NO municipales,Calle Añastro 11 Planta Baja Puerta 10,16405.89,Bicipark Aviación,Parking Aviación Española,10
Colegio Público de Educación Especial Francisco del Pozo,Instalaciones accesibles NO municipales,Callejon Domine 6,16434.43,Bicipark Aviación,Parking Aviación Española,10
"Fundación Síndrome de Down, centro ocupacional Tres olivos",Instalaciones accesibles NO municipales,Calle Cueva De Montesinos 45,16486.59,Bicipark Aviación,Parking Aviación Española,10
Instituto de Educación Secundaria (IES) Celestino Mutis,Instalaciones accesibles NO municipales,Calle Huerta De Villaverde 15,16487.0,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Residencia y centro de rehabilitación Duques de Lugo,Instalaciones accesibles NO municipales,Calle Adonis 1,16494.26,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Centro de Educación Especial El Despertar,Instalaciones accesibles NO municipales,Calle Adonis 1,16494.26,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Centro de Día Privado 'Trébol',Instalaciones accesibles NO municipales,Calle Palomares 71,16527.58,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Instituto de Educación Secundaria (IES) Antonio Domínguez Ortiz,Instalaciones accesibles NO municipales,Calle Andaluces 36,16546.09,Bicipark Aviación,Parking Aviación Española,10
