Place of interest,Type of place,Place address,Distance from parking in mts,BiciPARK station,BiciPARK address,Spots available
Biblioteca Pública Hortaleza,Instalaciones accesibles NO municipales,Calle Abertura 2,6172.42,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Intercambiador de transporte. Moncloa,Instalaciones accesibles NO municipales,Calle Princesa 89,6174.44,Bicipark Recuerdo,"Calle Hiedra, 26",13
"Oficina de Correos. Sucursal 99. Calle Pegaso, 24",Instalaciones accesibles NO municipales,Calle Pegaso 24,6175.59,Bicipark Almagro,"Calle Almagro, 11",12
Oficina de Empleo Ciudad Lineal,Instalaciones accesibles NO municipales,Calle Miguel Yuste 21,6177.41,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Tanatorio Sur de Madrid,Instalaciones accesibles NO municipales,Calle Ildefonso Gonzalez Valencia 1,6181.29,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Escuela Infantil Conde de Elda,Instalaciones accesibles NO municipales,Calle Ponferrada 16,6181.86,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Plaza de Misterios. Recinto Ferial.,Instalaciones accesibles NO municipales,Calle Misterios 1,6183.69,Bicipark Montalban,"Calle de Montalbán, 5",15
Oficina de Correos. Oficina Principal. Paseo del Prado,Instalaciones accesibles NO municipales,Paseo Prado 1,6187.86,Bicipark Recuerdo,"Calle Hiedra, 26",13
Centro de rehabilitación y recuperación y residencia Medinaceli,Instalaciones accesibles NO municipales,Calle Ramirez Tome 38,6195.01,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Parroquia Santa Eulalia de Mérida,Instalaciones accesibles NO municipales,Calle Pedroches 5,6197.21,Bicipark Almagro,"Calle Almagro, 11",12
Sede QuedaT.com Usera,Instalaciones accesibles NO municipales,Calle Miramadrid 1,6198.08,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Administración Fermín Caballero. AEAT,Instalaciones accesibles NO municipales,Calle Fermin Caballero 66,6198.11,Bicipark Almagro,"Calle Almagro, 11",12
Instituto de Educación Secundaria (IES) Isaac Newton,Instalaciones accesibles NO municipales,Calle Joaquin Lorenzo 2,6198.58,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Biblioteca del Tribunal de Cuentas,Instalaciones accesibles NO municipales,Calle Jose Ortega Y Gasset 100,6201.81,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Oficina de Correos. Sucursal 47. Calle Mar Caspio,Instalaciones accesibles NO municipales,Calle Mar Caspio 10,6204.87,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 14 Maldonado,Instalaciones accesibles NO municipales,Calle Maldonado 2,6205.89,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Colegio Público Virgen del Cerro,Instalaciones accesibles NO municipales,Calle Mohernando 1,6206.05,Bicipark Almagro,"Calle Almagro, 11",12
Administración Montalbán. AEAT,Instalaciones accesibles NO municipales,Calle Montalban 6,6208.79,Bicipark Recuerdo,"Calle Hiedra, 26",13
Colegio Público Escuelas Bosque,Instalaciones accesibles NO municipales,Avenida Santo Angel De La Guarda 4,6215.63,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
"A (mas) ECU control urbanístico, S.L. Entidad Colaboradora",Instalaciones accesibles NO municipales,Calle Añastro 11 Planta Baja Puerta 10,6217.16,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Empleo Estrecho - Azca,Instalaciones accesibles NO municipales,Plaza Pablo Ruiz Picasso  Edificio Serantes,6217.44,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Oficina de Correos. Sucursal 06. Calle Claudio Coello,Instalaciones accesibles NO municipales,Calle Claudio Coello 100,6217.58,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Dirección General de Vivienda y Rehabilitación. Comunidad de Madrid,Instalaciones accesibles NO municipales,Calle Maudes 17,6218.17,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Centro de rehabilitación Orpea Madrid Mirasierra,Instalaciones accesibles NO municipales,Avenida Ventisquero De La Condesa 46 Planta Baja,6219.87,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Oficina de Correos. Sucursal 18. Calle Pizarro,Instalaciones accesibles NO municipales,Calle Pizarro 17,6224.45,Bicipark Recuerdo,"Calle Hiedra, 26",13
Sede QuedaT.com Fuencarral-El Pardo (Centro Comunitario Guatemala),Instalaciones accesibles NO municipales,Calle Celanova 2,6234.14,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Correos. Sucursal 09. Calle Mártires Concepcionistas,Instalaciones accesibles NO municipales,Calle Martires Concepcionistas 21,6237.31,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Colegio Liceo Sorolla B,Instalaciones accesibles NO municipales,Calle Nueva Zelanda 21,6238.12,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Instituto de Educación Secundaria (IES) Juana de Castilla,Instalaciones accesibles NO municipales,Calle Valdebernardo 3,6245.67,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Ministerio de Política Territorial. Delegación del Gobierno en Madrid. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Garcia De Paredes 65,6249.17,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Plaza de Misterios. Recinto Ferial.,Instalaciones accesibles NO municipales,Calle Misterios 1,6251.12,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Plaza de Misterios. Recinto Ferial.,Instalaciones accesibles NO municipales,Calle Misterios 1,6253.5,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Correos. Sucursal 66. Plaza Pablo Ruiz Picasso,Instalaciones accesibles NO municipales,Plaza Pablo Ruiz Picasso 1,6255.54,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Norte Joven Fuencarral,Instalaciones accesibles NO municipales,Calle Ribadavia 20,6255.85,Bicipark Montalban,"Calle de Montalbán, 5",15
Colegio Público Marqués de Suanzes,Instalaciones accesibles NO municipales,Avenida Veinticinco De Septiembre 1,6255.87,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Colegio Mayor Santa María del Pino,Instalaciones accesibles NO municipales,Paseo San Francisco De Sales 13,6257.46,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Oficina de Correos. Sucursal 72. Calle Santiago Alio,Instalaciones accesibles NO municipales,Calle Santiago Alio 10 A,6257.47,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Residencia para personas con discapacidad intelectual gravemente afectadas y centro de día Dos de Mayo,Instalaciones accesibles NO municipales,Calle Oña 1,6257.84,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Parroquia San Jenaro,Instalaciones accesibles NO municipales,Calle Vital Aza 81,6259.14,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Sede QuedaT.com Hortaleza,Instalaciones accesibles NO municipales,Calle Mar Amarillo 4,6260.75,Bicipark Orense,"Avenida General Perón, 27",9
Sede QuedaT.com Arganzuela,Instalaciones accesibles NO municipales,Calle Juana Doña 7,6268.98,Bicipark Orense,"Avenida General Perón, 27",9
Museo Naval,Instalaciones accesibles NO municipales,Paseo Prado 3,6269.78,Bicipark Recuerdo,"Calle Hiedra, 26",13
Museo del Traje. Centro de Investigación del Patrimonio Etnológico (CIPE),Instalaciones accesibles NO municipales,Avenida Juan De Herrera 2,6273.2,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Servicio de Documentación y Biblioteca de la Asamblea de Madrid,Instalaciones accesibles NO municipales,Plaza Asamblea De Madrid 1,6273.5,Bicipark Almagro,"Calle Almagro, 11",12
Oficina de Empleo Águeda Díez,Instalaciones accesibles NO municipales,Plaza Agueda Diez 4,6273.97,Bicipark Almagro,"Calle Almagro, 11",12
Colegio Público Tomás Bretón,Instalaciones accesibles NO municipales,Calle Alejandro Dumas 4,6276.31,Bicipark Orense,"Avenida General Perón, 27",9
Centro ocupacional y residencia Carabanchel,Instalaciones accesibles NO municipales,Calle General Ricardos 177,6280.01,Bicipark Montalban,"Calle de Montalbán, 5",15
Parroquia San Jenaro,Instalaciones accesibles NO municipales,Calle Vital Aza 81,6280.06,Bicipark Recuerdo,"Calle Hiedra, 26",13
Sede QuedaT.com Carabanchel,Instalaciones accesibles NO municipales,Calle Ramon Sainz 27,6281.3,Bicipark Montalban,"Calle de Montalbán, 5",15
Instituto de Educación Secundaria (IES) Vista Alegre,Instalaciones accesibles NO municipales,Calle General Ricardos 177,6281.58,Bicipark Montalban,"Calle de Montalbán, 5",15
"Residencia, centro de día y centro ocupacional Ángel de la Guarda",Instalaciones accesibles NO municipales,Avenida Daroca 60,6282.78,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Oficina de Correos. Sucursal 54. Calle Cardenal Herrera Oria,Instalaciones accesibles NO municipales,Avenida Cardenal Herrera Oria 241,6285.05,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Sede QuedaT.com Carabanchel,Instalaciones accesibles NO municipales,Calle Ramon Sainz 27,6285.25,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Biblioteca de la Facultad de Derecho de la Universidad Complutense de Madrid,Instalaciones accesibles NO municipales,Plaza Menendez Pelayo 4,6285.97,Bicipark Recuerdo,"Calle Hiedra, 26",13
Yacimiento paleontológico. Estación de Metro Carpetana,Instalaciones accesibles NO municipales,Calle Via Carpetana 141,6287.7,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Correos. Sucursal 03. Calle Maudes,Instalaciones accesibles NO municipales,Calle Maudes 39,6290.96,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Centro ocupacional y residencia Carabanchel,Instalaciones accesibles NO municipales,Calle General Ricardos 177,6298.29,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Instituto de Educación Secundaria (IES) Vista Alegre,Instalaciones accesibles NO municipales,Calle General Ricardos 177,6299.86,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Parroquia San Jenaro,Instalaciones accesibles NO municipales,Calle Vital Aza 81,6304.79,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Comunidad de Madrid. Oficina de atención al ciudadano y oficina general de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Gran Via 3,6305.67,Bicipark Recuerdo,"Calle Hiedra, 26",13
Centro de Día Privado 'Los Nogales Hortaleza',Instalaciones accesibles NO municipales,Calle Alcobendas 12,6309.91,Bicipark Orense,"Avenida General Perón, 27",9
Oficina de Tramitación del DNI y Pasaporte Doce de Octubre,Instalaciones accesibles NO municipales,Calle Doce De Octubre 7,6313.57,Bicipark Recuerdo,"Calle Hiedra, 26",13
Yacimiento paleontológico. Estación de Metro Carpetana,Instalaciones accesibles NO municipales,Calle Via Carpetana 141,6315.17,Bicipark Montalban,"Calle de Montalbán, 5",15
Colegio Público Marqués de Suanzes,Instalaciones accesibles NO municipales,Avenida Veinticinco De Septiembre 1,6315.92,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Palacio de Liria,Instalaciones accesibles NO municipales,Calle Princesa 20,6315.96,Bicipark Recuerdo,"Calle Hiedra, 26",13
Espacio Fundación Telefónica,Instalaciones accesibles NO municipales,Calle Fuencarral 3,6316.45,Bicipark Recuerdo,"Calle Hiedra, 26",13
Parroquia San Jenaro,Instalaciones accesibles NO municipales,Calle Vital Aza 81,6317.47,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Oficina de Correos. Sucursal 42. Centro Comercial La Vaguada,Instalaciones accesibles NO municipales,Avenida Monforte De Lemos 36,6320.09,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Cine La Vaguada,Instalaciones accesibles NO municipales,Avenida Monforte De Lemos 36,6320.09,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Parque Deportivo Puerta de Hierro,Instalaciones accesibles NO municipales,Carretera De La Coruña  Kilómetro 7,6325.49,Bicipark Orense,"Avenida General Perón, 27",9
Instituto de Educación Secundaria (IES) Gregorio Marañón,Instalaciones accesibles NO municipales,Avenida El Ferrol 43,6327.96,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Correos. Sucursal 51. Calle Virgen de Aránzazu,Instalaciones accesibles NO municipales,Calle Virgen De Aranzazu 31,6330.32,Bicipark Almagro,"Calle Almagro, 11",12
Plaza de Misterios. Recinto Ferial.,Instalaciones accesibles NO municipales,Calle Misterios 1,6332.78,Bicipark Orense,"Avenida General Perón, 27",9
Oficina de Correos. Sucursal 32. Plaza Rogelio Enríquez,Instalaciones accesibles NO municipales,Plaza Rogelio Enriquez 5,6339.74,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Oficina de Correos. Sucursal 57. Plaza Movimiento Ciudadano,Instalaciones accesibles NO municipales,Plaza Movimiento Ciudadano 1,6340.43,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Oficina de Empleo Sanchinarro,Instalaciones accesibles NO municipales,Avenida Ingeniero Emilio Herrera 23,6340.47,Bicipark Orense,"Avenida General Perón, 27",9
Palacio Real de El Pardo,Instalaciones accesibles NO municipales,Calle Manuel Alonso 8,6345.26,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Oficina de Tramitación del DNI y Pasaporte (Centro),Instalaciones accesibles NO municipales,Calle Luna 17,6346.27,Bicipark Recuerdo,"Calle Hiedra, 26",13
"A (mas) ECU control urbanístico, S.L. Entidad Colaboradora",Instalaciones accesibles NO municipales,Calle Añastro 11 Planta Baja Puerta 10,6347.98,Bicipark Montalban,"Calle de Montalbán, 5",15
Oficina de Correos. Sucursal 60. Calle Arquitecto López Otero,Instalaciones accesibles NO municipales,Calle Arquitecto Lopez Otero 3,6351.03,Bicipark Recuerdo,"Calle Hiedra, 26",13
Instituto de Educación Secundaria (IES) Príncipe Felipe,Instalaciones accesibles NO municipales,Calle Finisterre 60,6353.44,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Colegio Público Jorge Guillén,Instalaciones accesibles NO municipales,Avenida El Ferrol 47,6356.64,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Correos. Sucursal 58. Universidad Autónoma Cantoblanco,Instalaciones accesibles NO municipales,Calle Kant  Sin Número,6363.19,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Oficina de Correos. Sucursal 77. Calle Eduardo Barreiros,Instalaciones accesibles NO municipales,Calle Eduardo Barreiros 3 Y 5,6364.59,Bicipark Almagro,"Calle Almagro, 11",12
Instituto de Educación Secundaria (IES) Príncipe Felipe,Instalaciones accesibles NO municipales,Calle Finisterre 60,6366.2,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Instalación Deportiva San Vicente de Paúl,Instalaciones accesibles NO municipales,Calle Pelicano 4,6367.3,Bicipark Almagro,"Calle Almagro, 11",12
Centro de Educación de Personas Adultas (CEPA) Hortaleza - Mar Amarillo,Instalaciones accesibles NO municipales,Calle Mar Amarillo 21,6371.8,Bicipark Orense,"Avenida General Perón, 27",9
Oficina de Correos. Sucursal 04. Calle General Ricardos,Instalaciones accesibles NO municipales,Calle General Ricardos 212,6372.43,Bicipark Montalban,"Calle de Montalbán, 5",15
Oficina de Correos. Sucursal 35. Hermanos García Noblejas,Instalaciones accesibles NO municipales,Calle Hermanos Garcia Noblejas 30,6373.2,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Palacio de Velázquez,Instalaciones accesibles NO municipales,Paseo Venezuela 2,6373.21,Bicipark Recuerdo,"Calle Hiedra, 26",13
Colegio Público Leopoldo Alas,Instalaciones accesibles NO municipales,Calle Pedrezuela 18,6373.85,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Sala Alcalá 31,Instalaciones accesibles NO municipales,Calle Alcala 31,6385.5,Bicipark Recuerdo,"Calle Hiedra, 26",13
Oficina de Correos. Sucursal 04. Calle General Ricardos,Instalaciones accesibles NO municipales,Calle General Ricardos 212,6385.77,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Correos. Sucursal 35. Hermanos García Noblejas,Instalaciones accesibles NO municipales,Calle Hermanos Garcia Noblejas 30,6386.99,Bicipark Almagro,"Calle Almagro, 11",12
Biblioteca de la Real Academia de Jurisprudencia y Legislación,Instalaciones accesibles NO municipales,Calle Marques De Cubas 13,6387.62,Bicipark Recuerdo,"Calle Hiedra, 26",13
Oficina de Correos. Sucursal 46. Calle Guzmán el Bueno,Instalaciones accesibles NO municipales,Calle Guzman El Bueno 86,6387.7,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Instituto de Educación Secundaria (IES) San Fernando,Instalaciones accesibles NO municipales,Carretera Colmenar Viejo Km.13500,6390.98,Bicipark Recuerdo,"Calle Hiedra, 26",13
Cine Cinesa Manoteras,Instalaciones accesibles NO municipales,Avenida Manoteras 40,6391.68,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
"Asociación esclerosis múltiple Madrid, centro de rehabilitación",Instalaciones accesibles NO municipales,Calle Sangenjo 36 Planta 1º,6395.72,Bicipark Almagro,"Calle Almagro, 11",12
Oficina de Correos. Sucursal 35. Hermanos García Noblejas,Instalaciones accesibles NO municipales,Calle Hermanos Garcia Noblejas 30,6398.66,Bicipark Montalban,"Calle de Montalbán, 5",15
Instituto de Educación Secundaria (IES) Ciudad Escolar,Instalaciones accesibles NO municipales,Carretera Colmenar Viejo 12.800,6400.12,Bicipark Recuerdo,"Calle Hiedra, 26",13
Consorcio Regional de Transportes Públicos Regulares de Madrid,Instalaciones accesibles NO municipales,Plaza Descubridor Diego De Ordas 3 Planta Baja,6401.34,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Oficina de Correos. Sucursal 39. Calle Arroyo de la Media Legua,Instalaciones accesibles NO municipales,Calle Arroyo De La Media Legua 56,6401.94,Bicipark Orense,"Avenida General Perón, 27",9
Sede QuedaT.com Hortaleza,Instalaciones accesibles NO municipales,Calle Mar Amarillo 4,6406.11,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Oficina de Correos. Sucursal 54. Calle Cardenal Herrera Oria,Instalaciones accesibles NO municipales,Avenida Cardenal Herrera Oria 241,6406.12,Bicipark Almagro,"Calle Almagro, 11",12
Oficina de Correos. Sucursal 35. Hermanos García Noblejas,Instalaciones accesibles NO municipales,Calle Hermanos Garcia Noblejas 30,6410.49,Bicipark Recuerdo,"Calle Hiedra, 26",13
Colegio Santa María la Blanca,Instalaciones accesibles NO municipales,Calle Monasterio De Oseira 17,6417.33,Bicipark Orense,"Avenida General Perón, 27",9
Colegio Público Fontarrón,Instalaciones accesibles NO municipales,Calle Arroyo Fontarron 24,6420.61,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Instituto de Educación Secundaria (IES) Fortuny,Instalaciones accesibles NO municipales,Calle Fortuny 24,6420.93,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Colegio Santo Domingo Savio,Instalaciones accesibles NO municipales,Calle Santo Domingo Savio 2,6421.19,Bicipark Montalban,"Calle de Montalbán, 5",15
Colegio Liceo Sorolla B,Instalaciones accesibles NO municipales,Calle Nueva Zelanda 21,6425.24,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Museo de Mineralogía,Instalaciones accesibles NO municipales,Calle Francisco Tomas Y Valiente 7 Facultad De Ciencias - Departamento Geología Y Geoquímica,6425.41,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Biblioteca Pública Rafael Alberti (Fuencarral - El Pardo),Instalaciones accesibles NO municipales,Calle Sangenjo 38,6431.17,Bicipark Almagro,"Calle Almagro, 11",12
Residencia Universitaria Augustinus Nebrija,Instalaciones accesibles NO municipales,Calle Cea Bermudez 59,6431.22,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Biblioteca Pública José Hierro (Usera),Instalaciones accesibles NO municipales,Avenida Rafaela Ybarra 43,6432.07,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Instalación Deportiva Canal de Isabel II,Instalaciones accesibles NO municipales,Avenida Filipinas 54,6432.36,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Oficina de Correos. Sucursal 51. Calle Virgen de Aránzazu,Instalaciones accesibles NO municipales,Calle Virgen De Aranzazu 31,6432.53,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Instalación Deportiva San Vicente de Paúl,Instalaciones accesibles NO municipales,Calle Pelicano 4,6451.24,Bicipark Aviación,Parking Aviación Española,10
Oficina de Empleo Barrio del Pilar,Instalaciones accesibles NO municipales,Camino Ganapanes 33,6454.79,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Espacio para mayores Las Tablas,Instalaciones accesibles NO municipales,Avenida Camino De Santiago 39,6455.1,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Escuela Infantil Conde de Elda,Instalaciones accesibles NO municipales,Calle Ponferrada 16,6455.57,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Cine Cinesa Las Rosas,Instalaciones accesibles NO municipales,Avenida Guadalajara 2,6456.77,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Yacimiento paleontológico. Estación de Metro Carpetana,Instalaciones accesibles NO municipales,Calle Via Carpetana 141,6461.51,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Comisaría de Policía y Oficina de Tramitación del DNI y Pasaporte (Usera-Villaverde 2),Instalaciones accesibles NO municipales,Calle Primitiva Gañan 6,6462.15,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Casón del Buen Retiro.,Instalaciones accesibles NO municipales,Calle Alfonso Xii 28,6464.15,Bicipark Recuerdo,"Calle Hiedra, 26",13
Biblioteca del Defensor del Pueblo,Instalaciones accesibles NO municipales,Calle Fortuny 22,6465.04,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Museo de América,Instalaciones accesibles NO municipales,Avenida Reyes Catolicos 6,6466.13,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Centro de Natación Mundial 86 (M - 86),Instalaciones accesibles NO municipales,Calle Jose Martinez De Velasco 3,6467.24,Bicipark Recuerdo,"Calle Hiedra, 26",13
Administración Sudeste. AEAT,Instalaciones accesibles NO municipales,Calle Camino De Los Vinateros 51,6471.39,Bicipark Orense,"Avenida General Perón, 27",9
Oficina de Empleo Argüelles,Instalaciones accesibles NO municipales,Calle Evaristo San Miguel 8,6475.2,Bicipark Recuerdo,"Calle Hiedra, 26",13
Instituto de Educación Secundaria (IES) Conde de Orgaz,Instalaciones accesibles NO municipales,Calle Napoles 56,6478.24,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Residencia Universitaria Erasmo,Instalaciones accesibles NO municipales,Calle Erasmo De Rotterdam 5 Y 7,6478.95,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Colegio Público San Juan de la Cruz,Instalaciones accesibles NO municipales,Calle Honduras 10,6483.92,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Oficina de Correos. Sucursal 35. Hermanos García Noblejas,Instalaciones accesibles NO municipales,Calle Hermanos Garcia Noblejas 30,6491.41,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Colegio Público Ciudad de Jaén,Instalaciones accesibles NO municipales,Calle Madre Rosa Blanco 3,6498.51,Bicipark Almagro,"Calle Almagro, 11",12
Oficina de Correos. Sucursal 92. Eroski Avenida Pablo Neruda,Instalaciones accesibles NO municipales,Avenida Pablo Neruda 91,6502.8,Bicipark Almagro,"Calle Almagro, 11",12
Aparcamiento público de Metro de Madrid. Miguel Hernández,Instalaciones accesibles NO municipales,Avenida Albufera 270,6504.25,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Biblioteca Pública Miguel Hernández (Puente de Vallecas),Instalaciones accesibles NO municipales,Avenida Rafael Alberti 36,6509.1,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Colegio Santo Domingo Savio,Instalaciones accesibles NO municipales,Calle Santo Domingo Savio 2,6509.92,Bicipark Almagro,"Calle Almagro, 11",12
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Chamartín),Instalaciones accesibles NO municipales,Avenida Pio Xii 48,6516.71,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Sede QuedaT.com Carabanchel,Instalaciones accesibles NO municipales,Calle Ramon Sainz 27,6519.1,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Centro de Educación de Personas Adultas (CEPA) Hortaleza - Mar Amarillo,Instalaciones accesibles NO municipales,Calle Mar Amarillo 21,6519.45,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Museo Nacional Thyssen-Bornemisza,Instalaciones accesibles NO municipales,Paseo Prado 8,6521.93,Bicipark Recuerdo,"Calle Hiedra, 26",13
Biblioteca Pública Miguel Hernández (Puente de Vallecas),Instalaciones accesibles NO municipales,Avenida Rafael Alberti 36,6522.42,Bicipark Montalban,"Calle de Montalbán, 5",15
Instituto de Educación Secundaria (IES) Renacimiento,Instalaciones accesibles NO municipales,Calle Castellflorite 4,6523.05,Bicipark Almagro,"Calle Almagro, 11",12
Sede QuedaT.com Fuencarral-El Pardo (Centro Comunitario Guatemala),Instalaciones accesibles NO municipales,Calle Celanova 2,6524.33,Bicipark Montalban,"Calle de Montalbán, 5",15
Colegio Liceo Sorolla B,Instalaciones accesibles NO municipales,Calle Nueva Zelanda 21,6532.84,Bicipark Montalban,"Calle de Montalbán, 5",15
Colegio Santo Domingo Savio,Instalaciones accesibles NO municipales,Calle Santo Domingo Savio 2,6534.15,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Correos. Sucursal 35. Hermanos García Noblejas,Instalaciones accesibles NO municipales,Calle Hermanos Garcia Noblejas 30,6536.13,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Biblioteca del Congreso de los Diputados,Instalaciones accesibles NO municipales,Calle Floridablanca 1,6536.29,Bicipark Recuerdo,"Calle Hiedra, 26",13
Centro de Día Privado 'Los Nogales Hortaleza',Instalaciones accesibles NO municipales,Calle Alcobendas 12,6537.17,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Centro ocupacional y residencia Fundación ALAS Madrid,Instalaciones accesibles NO municipales,Calle Encomienda De Palacios 235,6542.12,Bicipark Montalban,"Calle de Montalbán, 5",15
Centro de rehabilitación INDANE,Instalaciones accesibles NO municipales,Calle Vallehermoso 100 Planta Baja,6547.48,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Centro de Atención e Información de la Agencia de la Seguridad Social (CAISS) nº 13 Centro,Instalaciones accesibles NO municipales,Calle Cedaceros 11,6551.03,Bicipark Recuerdo,"Calle Hiedra, 26",13
Colegio Mayor Nuestra Señora de Guadalupe,Instalaciones accesibles NO municipales,Avenida Seneca 4,6553.35,Bicipark Recuerdo,"Calle Hiedra, 26",13
Centro de enseñanza CESUR - Madrid II,Instalaciones accesibles NO municipales,Calle Albarracin 27,6553.95,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Centro ocupacional y residencia Carabanchel,Instalaciones accesibles NO municipales,Calle General Ricardos 177,6558.46,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Instituto de Educación Secundaria (IES) Vista Alegre,Instalaciones accesibles NO municipales,Calle General Ricardos 177,6560.05,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Museo de la Real Academia de Bellas Artes de San Fernando,Instalaciones accesibles NO municipales,Calle Alcala 13,6560.44,Bicipark Recuerdo,"Calle Hiedra, 26",13
Museo del Traje. Centro de Investigación del Patrimonio Etnológico (CIPE),Instalaciones accesibles NO municipales,Avenida Juan De Herrera 2,6561.43,Bicipark Recuerdo,"Calle Hiedra, 26",13
